bin_15min,obs_rate,perm_mean,perm_lo,perm_hi,p_2sided,n_attempts
10.25,14.562002275312857,20.024118316268133,15.472127417519909,24.573378839590443,0.0219,21975.0
10.5,21.247142903132346,26.443614589704445,22.534848533625212,30.261082316582428,0.0145,31063.0
10.75,20.780420226275687,26.25513738166803,23.089355806972986,29.246517355499115,0.0023,25986.0
11.0,20.295658374701738,26.10498889224068,22.48978360439922,29.07215929349168,0.0005,36461.0
11.25,20.41858090862685,22.904316261128425,18.1498496965572,28.359140150870623,0.3981,17631.0
11.5,22.357229647630618,28.720000000000645,23.329283110571083,34.02187120291616,0.0195,20575.0
11.75,15.607928827844546,20.05150616513125,14.04713594506009,24.972686124551274,0.1672,12814.0
12.0,25.82811390198231,32.669206431200465,25.82811390198231,40.03357654807258,0.0847,15487.0
12.25,15.71503404924044,23.331849135669888,15.71503404924044,31.43006809848088,0.1243,7636.0
12.5,31.341412452987882,29.644170497283707,22.98370246552445,35.5202674467196,0.7687,9572.0
12.75,25.097251850922323,27.324883925209033,20.07780148073786,35.13615259129125,0.7493,7969.0
13.0,23.799470269855284,23.702429849141627,20.728570880196536,26.87036965951403,1.0,26051.0
13.25,17.029080429656798,19.085931359707587,14.40922190201729,23.57872674875557,0.3876,15268.0
13.5,14.530923621832713,16.57615112160543,12.714558169103624,20.888202706384526,0.3791,22022.0
13.75,22.508581396657473,18.90293174272718,13.505148837994485,24.759439536323224,0.2644,17771.0
14.0,23.0645503930078,25.093077600072778,21.85062668811265,28.52720706503596,0.3247,32951.0
14.25,28.376584740720396,22.167147237860185,17.392100324957664,26.54583733809328,0.0144,21849.0
14.5,22.235000958405216,25.418133026643645,20.701552616446232,29.902242668200113,0.1918,26085.0
14.75,20.018277557770137,12.381130597503564,7.833239044344836,17.40719787632186,0.0021,22979.0
15.0,34.11662315056571,29.492497824196565,25.065274151436032,34.11662315056571,0.0532,28725.0
15.25,28.52410747147589,21.552815605447382,16.562384983437614,26.683842473316158,0.0126,21736.0
15.5,31.412270017308803,26.794922751458774,22.437335726649145,31.412270017308803,0.0426,31198.0
15.75,29.29947616088076,24.993962532185034,20.420847021219924,30.187339074846843,0.1252,22526.0
16.0,27.89282393711436,17.513819626406043,13.523793424055448,21.976164314090106,0.0,23662.0
16.25,26.07561929595828,22.558720288836867,16.04653495135894,29.08434459933808,0.2848,19942.0
16.5,40.39180046450571,29.771281429870125,24.235080278703425,35.34282540644249,0.0004,19806.0
16.75,23.26663564448581,17.833565999689274,10.857763300760045,24.81774468745153,0.1424,12894.0
17.0,31.07600673313479,24.2067849281395,18.127670594328627,31.07600673313479,0.0626,15446.0
17.25,29.433406916850625,22.134739596107245,14.716703458425313,29.433406916850625,0.0915,12231.0
17.5,43.53685083445631,32.27822120866622,22.80501710376283,43.53685083445631,0.0533,9647.0
17.75,19.321597252039503,25.31365392872486,17.174753112924,34.349506225848,0.2054,9316.0
18.0,50.15388122649037,38.66681864812982,27.356662487176568,50.15388122649037,0.0541,8773.0
18.25,42.99394176275161,32.525698651553455,19.542700801250735,46.90248192300176,0.1677,5117.0
18.5,35.97769382982551,24.715596330274185,14.391077531930204,35.97769382982551,0.0725,5559.0
18.75,28.479886080455678,23.377002491988975,7.1199715201139195,42.71982912068352,,2809.0
19.0,32.93988471040352,16.77957727148146,5.489980785067252,27.44990392533626,,3643.0
19.25,75.82938388625593,64.82085308057226,56.87203791469194,94.7867298578199,,1055.0
19.5,23.86634844868735,18.2529832935553,0.0,39.77724741447892,,2514.0
19.75,0.0,5.04481665912176,0.0,18.107741059302853,,2209.0
20.0,49.56629491945477,54.34944237918936,24.783147459727385,74.34944237918215,,807.0
20.25,0.0,0.0,0.0,0.0,,214.0
20.5,14.566642388929353,52.46176256373619,29.133284777858705,72.83321194464676,,1373.0
20.75,266.6666666666667,200.6222222222113,177.77777777777777,266.6666666666667,,225.0
21.0,0.0,,,,,0.0
21.25,0.0,,,,,0.0
21.5,0.0,0.0,0.0,0.0,,80.0
21.75,0.0,0.0,0.0,0.0,,35.0
22.0,0.0,,,,,0.0
22.25,0.0,,,,,0.0
22.5,0.0,0.0,0.0,0.0,,470.0
22.75,0.0,,,,,0.0
23.0,0.0,0.0,0.0,0.0,,58.0
23.25,0.0,,,,,0.0
23.5,0.0,,,,,0.0
23.75,0.0,0.0,0.0,0.0,,20.0
