competitionId,eventId,round_number,local_hour,timezone,roundTypeId,bin_15min
AZCubingOpen2018,444,1,8.0,America/Phoenix,d,8.0
MissouriChampionship2024,555,1,8.0,America/Chicago,d,8.0
UnicoCali2024,555,1,8.0,America/Bogota,c,8.0
VeranoonAsuncion2025,666,1,8.0,America/Asuncion,f,8.0
ChulaVistaWinter2023,555,1,8.0,America/Los_Angeles,c,8.0
HeartlandChampionship2023,444,2,8.0,America/Chicago,2,8.0
EvanstonFallMiniA2023,333,1,8.0,America/Chicago,1,8.0
SouthernChampionship2023,333,2,8.0,America/Chicago,2,8.0
HeartlandChampionship2022,444,1,8.0,America/Chicago,d,8.0
IbagueMercacentro102024,555,1,8.0,America/Bogota,c,8.0
MarikinaCityOpenII2019,333,1,8.0,Asia/Manila,1,8.0
KatyCubing2019,444,1,8.0,America/Chicago,d,8.0
BlueWaterBridgeOpen2022,444,1,8.0,America/Detroit,c,8.0
SanJuanIII2023,555,1,8.0,America/Bogota,d,8.0
SanJuanV2024,444,1,8.0,America/Bogota,c,8.0
AvenidaChileVLevels2023,333,1,8.0,America/Bogota,1,8.0
NacionalesFenixColombia2021,333fm,1,8.0,America/Bogota,c,8.0
NacionalesGuatemala2022,333,2,8.0,America/Guatemala,2,8.0
AvenidaChileXI2024,444,1,8.0,America/Bogota,1,8.0
TexasOutofSchool2019,333fm,1,8.0,America/Chicago,f,8.0
LopesUpAZ2025,333,1,8.0,America/Phoenix,1,8.0
PuzzlingPorirua2022,444,1,8.0,Pacific/Auckland,d,8.0
CubersCafeOpen2019,333fm,1,8.0,Asia/Hong_Kong,f,8.0
AvenidaChileIVTeams2023,333,1,8.0,America/Bogota,1,8.0
AvenidaChileIII2023,333,1,8.0,America/Bogota,1,8.0
RutaCuberaIzcalliClasico2025,333fm,1,8.0,America/Mexico_City,f,8.0
WCCWesternChampionship2022,555,1,8.0,America/Los_Angeles,d,8.0
OregonChampionship2024,555,1,8.0,America/Los_Angeles,d,8.0
BiyagamaCubingBlitz2025,666,1,8.0,Asia/Colombo,c,8.0
CubicleDayOxford2024,444,1,8.0,America/New_York,c,8.0
OrediggerOpenCO2025,333,1,8.0,America/Denver,d,8.0
FrenchChampionship2024,333,2,8.0,Europe/Paris,2,8.0
CopperCountryCubingFall2019,666,1,8.0,America/New_York,c,8.0
NepaliNationals2025,333fm,1,8.0,Asia/Kathmandu,f,8.0
XuzhouWinter2019,333,1,8.0,Asia/Shanghai,1,8.0
PretoriaSpringMorning2023,333,1,8.0,Africa/Johannesburg,1,8.0
DFWMegacomp2024,666,1,8.0,America/Chicago,d,8.0
AmritaCubeOpen2025,333fm,1,8.0,Asia/Calcutta,f,8.0
QuabbinSummer2019,333,1,8.0,America/New_York,1,8.0
NepalOpen2018,333fm,1,8.0,Asia/Kathmandu,f,8.0
ClockMinxOhio2025,333,1,8.0,America/New_York,1,8.0
NerjaChanqueteOpen2024,333,2,8.0,Europe/Madrid,2,8.0
FlagCityFall2019,333fm,1,8.0,America/New_York,f,8.0
SzansaCubingOpenWarsaw2024,333fm,1,8.0,Europe/Warsaw,f,8.0
PolishNationals2013,666,2,8.0,Europe/Warsaw,f,8.0
HoChiMinhLetsCube2019,333,1,8.0,Asia/Ho_Chi_Minh,1,8.0
HoChiMinhCityWarmUp2022,333,1,8.0,Asia/Ho_Chi_Minh,d,8.0
PolishNationals2013,666,1,8.0,Europe/Warsaw,d,8.0
MassachusettsChampionship2019,333,1,8.0,America/New_York,1,8.0
AvenidaChileVII2024,333,1,8.0,America/Bogota,1,8.0
SoutheastChampionship2025,333,2,8.0,America/New_York,2,8.0
BUWinter2019,333,1,8.0,America/New_York,1,8.0
ProjectPawlowice2021,444,1,8.0,Europe/Warsaw,d,8.0
Cube4funLowLimitsJaroslaw2024,333,1,8.0,Europe/Warsaw,1,8.0
CubingwiththeCatsSunday2023,333fm,1,8.0,Europe/Dublin,f,8.0
DelacuestaalCuboIII2023,444,1,8.0,America/Bogota,d,8.0
SanskaraCubeOpen2025,333,2,8.0,Asia/Calcutta,2,8.0
DelacuestaalCubo2023,444,1,8.0,America/Bogota,d,8.0
SpeedCubingFestPachuca2023,333,2,8.0,America/Mexico_City,2,8.0
CubeCampinSuanPhueng2025,333fm,1,8.0,Asia/Bangkok,f,8.0
FundacionAnayJoseBogota2024,444,1,8.0,America/Bogota,1,8.0
DontbeFooledColorado2023,555,1,8.0,America/Denver,d,8.0
AucklandAutumn2023,333,2,8.0,Pacific/Auckland,2,8.0
BulacanSpeedcubingOpen2019,333,1,8.0,Asia/Manila,1,8.0
SolLunaParte1Bogota2023,444,1,8.0,America/Bogota,d,8.0
NimbleNapier2021,555,1,8.0,Pacific/Auckland,d,8.0
EdenBogotaII2025,444,1,8.0,America/Bogota,d,8.0
ColoradoChampionship2024,333,2,8.0,America/Denver,2,8.0
AucklandMidYearMadness2023,333,2,8.0,Pacific/Auckland,2,8.0
Belalcazar2023,555,1,8.0,America/Bogota,c,8.0
NewYearAuckland2021,333,1,8.0,Pacific/Auckland,1,8.0
GAChamp2018,333fm,1,8.0,America/New_York,f,8.0
FlagCityFall2019,444,1,8.0,America/New_York,c,8.0
LibreCubeChallenge2024,555,1,8.0,America/Bogota,c,8.0
GrindCity2019,555,1,8.0,America/Chicago,c,8.0
AvenidaChileXX2025,333,1,8.0,America/Bogota,1,8.0
AvenidaChileXVIII2024,555,1,8.0,America/Bogota,c,8.0
AvenidaChileXIII2024,444,1,8.0,America/Bogota,d,8.0
Ibague2024,555,1,8.0,America/Bogota,d,8.0
Ibague2023,444,1,8.0,America/Bogota,c,8.0
CEMSaoCuboVilaVelha2025,333fm,1,8.0,America/Sao_Paulo,f,8.0
SantaClausCubeRace2019,666,1,8.0,Europe/Warsaw,c,8.0
CentenariodeBodoco2024,333,1,8.0,America/Recife,1,8.0
MarawilaCubingChallenge2024,333fm,1,8.0,Asia/Colombo,f,8.0
MarshallCubingSeptember2022,666,1,8.0,America/Los_Angeles,c,8.0
MonterreyCube2022,555,1,8.0,America/Bogota,d,8.0
SSL2Skurup2019,333fm,1,8.0,Europe/Copenhagen,f,8.0
UlaanbaatarCubingFeb2024,333,1,8.0,Asia/Ulaanbaatar,f,8.0
444Puebla2025,444,2,8.0,America/Mexico_City,2,8.0
HoustonWinter2020,666,1,8.0,America/Chicago,d,8.0
HowrahCubeOpen2023,333,1,8.0,Asia/Kolkata,1,8.0
VillapinzonalCuboOpenII2024,666,1,8.0,America/Bogota,c,8.0
LebrijaRelay2023,555,1,8.0,America/Bogota,c,8.0
Lebrija2023,444,1,8.0,America/Bogota,d,8.0
AvesMariav92023,444,1,8.0,America/Bogota,c,8.0
CronosQueretaro2023,444,1,8.0,America/Mexico_City,d,8.0
Medan10thAnniversary2019,333fm,1,8.0,Asia/Jakarta,f,8.0
SuperseisCubeaAsuncion2025,333,1,8.0,America/Asuncion,1,8.0
SmallCheese2019,444,1,8.0,America/Chicago,d,8.0
MilwaukeeCubingMania2024,333fm,1,8.0,America/Chicago,f,8.0
Terraza3602024,444,1,8.0,America/Bogota,c,8.0
LetsCubeLongBeach2025,333,1,8.0,America/Los_Angeles,1,8.0
