competitionId,roundTypeId,n_competitors,n_attempts,n_single_rec,n_avg_rec,n_wr_single,n_wr_avg,n_cr_single,n_cr_avg,n_nr_single,n_nr_avg,eventId,n_records,n_wr,n_cr,n_nr,local_hour,bin_15min,timezone,countryId,year,is_final,round_stage,round_name,era
FIGHTPeru2018,c,8,22,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Peru,2018,True,Final,Final,2016-2018
FINGOpen2022,c,14,38,0,0,0,0,0,0,0,0,666,0,0,0,0,8.666666666666666,8.5,America/Montevideo,Uruguay,2022,True,Final,Final,2019-2022
FLIPOpen2012,c,8,16,1,1,0,0,0,0,1,1,666,2,0,0,2,,,,France,2012,True,Final,Final,2011-2015
FLIPOpen2023,f,27,78,0,0,0,0,0,0,0,0,666,0,0,0,0,16.5,16.5,Europe/Paris,France,2023,True,Final,Final,2023-2026
FLIPRubikOpen2016,c,12,26,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,France,2016,True,Final,Final,2016-2018
FMCHelsinkiwithSomeSides2023,d,9,25,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2023,False,Early,First round,2023-2026
FMCHelsinkiwithSomeSides2023,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2023,True,Final,Final,2023-2026
FMCTijuasIII2025,f,7,21,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Mexico,2025,True,Final,Final,2023-2026
FMCandMoreMinnesota2025,f,14,38,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2025,True,Final,Final,2023-2026
FMCinaGemCityTemple2023,c,28,58,0,0,0,0,0,0,0,0,666,0,0,0,0,15.0,15.0,America/New_York,USA,2023,True,Final,Final,2023-2026
FMCowOhioState2023,f,11,30,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2023,True,Final,Final,2023-2026
FNSMOpen2015,d,16,36,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Mexico,2015,False,Early,First round,2011-2015
FNSMOpen2015,f,4,12,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Mexico,2015,True,Final,Final,2011-2015
FSUbers1002025,c,32,78,0,0,0,0,0,0,0,0,666,0,0,0,0,14.916666666666666,14.75,America/New_York,USA,2025,True,Final,Final,2023-2026
FSUbers202022,d,14,42,0,0,0,0,0,0,0,0,666,0,0,0,0,12.333333333333334,12.25,America/New_York,USA,2022,False,Early,First round,2019-2022
FSUbers202022,f,8,24,0,0,0,0,0,0,0,0,666,0,0,0,0,13.666666666666666,13.5,America/New_York,USA,2022,True,Final,Final,2019-2022
FSUbers452023,c,15,35,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2023,True,Final,Final,2023-2026
FSUbers502024,c,27,67,0,0,0,0,0,0,0,0,666,0,0,0,0,13.833333333333334,13.75,America/New_York,USA,2024,True,Final,Final,2023-2026
FSUbers702024,1,30,90,1,1,0,0,0,0,1,1,666,2,0,0,2,13.166666666666666,13.0,America/New_York,USA,2024,False,Early,First round,2023-2026
